지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s)
106,동해,2023-06-03,22.1,14.9,26.4,1.5
106,동해,2023-06-04,24.4,18.8,28.7,1.9
106,동해,2023-06-05,25,19.5,30.4,2
106,동해,2023-06-06,22.2,18,27.6,1.7
106,동해,2023-06-07,22.6,18.2,26.7,1.7
108,서울,2020-06-08,25,19.8,32,2.1
108,서울,2020-06-09,26.7,20.3,32.8,2.3
108,서울,2020-06-10,25.8,22.5,32.1,2
108,서울,2020-06-11,26.1,21.7,31.6,2.2
108,서울,2020-06-12,24.7,21.6,27.6,1.7
108,서울,2020-06-13,26.9,20.6,33.5,1.9
108,서울,2020-06-14,24,20.1,28.8,2.9
108,서울,2020-06-15,23,18.2,28.6,2.8
108,서울,2020-06-16,24.4,20,30.7,2.2
108,서울,2020-06-17,24.3,20.2,30.3,2
108,서울,2020-06-18,23.4,20.3,27.3,1.6
108,서울,2020-06-19,24.7,21.1,30,2.1
108,서울,2020-06-20,24.9,20.7,29.7,2.1
108,서울,2020-06-21,26.1,19.5,32.7,2
108,서울,2020-06-22,28.6,21.7,35.4,2
108,서울,2020-06-23,27.3,23.2,31,1.9
108,서울,2020-06-24,22.3,19.9,26.3,2.7
108,서울,2020-06-25,21.6,20.1,23.4,2.2
108,서울,2020-06-26,21.8,19.2,25.7,3.2
108,서울,2020-06-27,24.1,20.4,29.6,2
108,서울,2020-06-28,25.2,21.5,30.1,2.4
108,서울,2020-06-29,23.8,20.6,26.5,2.4
108,서울,2020-06-30,20.1,18.4,23.1,4
108,서울,2020-07-01,21.1,18.1,24.3,1.9
108,서울,2020-07-02,24.2,20.4,29.8,1.9
108,서울,2020-07-03,25.5,21.6,30.6,2.6
108,서울,2020-07-04,24.2,20.4,29.5,2.1
108,서울,2020-07-05,23.8,19.9,27.6,1.9
108,서울,2020-07-06,25.6,21.8,30.9,2.1
108,서울,2020-07-07,24.1,22.1,28.1,2.5
108,서울,2020-07-08,25.5,21.3,30.4,2
108,서울,2020-07-09,27.5,21.8,32.9,1.7
108,서울,2020-07-10,24.5,22.7,27.7,2.8
108,서울,2020-07-11,25.8,22.2,30.2,2.6
108,서울,2020-07-12,23.5,21.7,26,2.4
108,서울,2020-07-13,18.7,17.7,21.7,4
108,서울,2020-07-14,20.3,17.2,24.3,2.8
108,서울,2020-07-15,23.4,18.9,28.7,2
108,서울,2020-07-16,25,20.4,29.7,1.8
108,서울,2020-07-17,26,21.5,31.6,1.9
108,서울,2020-07-18,26.1,22.8,31,1.6
108,서울,2020-07-19,24,20.6,26.6,2.7
108,서울,2020-07-20,23.8,22.4,26.6,3.7
108,서울,2020-07-21,25,21.4,30.5,1.6
108,서울,2020-07-22,23.7,22.6,25.7,1.6
108,서울,2020-07-23,21.1,18.5,22.6,3.6
108,서울,2020-07-24,22.5,18.7,26.8,4.6
108,서울,2020-07-25,24.3,22.3,29,3.1
108,서울,2020-07-26,25.4,21.6,29.6,2
108,서울,2020-07-27,24.3,22.9,25.5,2.2
108,서울,2020-07-28,24.4,22.7,26.4,2
108,서울,2020-07-29,23.7,22.6,24.9,2
108,서울,2020-07-30,25.3,23.4,28.4,2.1
108,서울,2020-07-31,26.2,22.8,29.6,2
108,서울,2020-08-01,25.3,24.3,26.9,1.7
108,서울,2020-08-02,24.9,23.5,26.4,2.3
108,서울,2020-08-03,25,23.9,26.3,3
108,서울,2020-08-04,27,25,29.4,3.5
108,서울,2020-08-05,26.5,25.5,29.1,1.9
108,서울,2020-08-06,24.1,22.9,26,3.3
108,서울,2020-08-07,24.3,22.6,26.1,1.8
108,서울,2020-08-08,24.2,22.7,26.1,2.3
108,서울,2020-08-09,24.9,23.7,25.8,2.6
108,서울,2020-08-10,26.5,24.7,29.5,2
108,서울,2020-08-11,24.6,22.4,27.3,2.2
108,서울,2020-08-12,27.2,23.5,31.3,1.9
108,서울,2020-08-13,28,26.3,30.3,2.5
108,서울,2020-08-14,27.1,26.5,28,3.5
108,서울,2020-08-15,26.1,25,27,1.9
108,서울,2020-08-16,27.4,25.3,30.8,3
108,서울,2020-08-17,28.2,26.1,32.2,2.3
108,서울,2020-08-18,27.5,24,31.9,1.6
108,서울,2020-08-19,27.1,23.6,31.4,2
108,서울,2020-08-20,27.7,25,31.7,1.7
108,서울,2020-08-21,26.6,25.2,29.2,1.6
108,서울,2020-08-22,24.3,21.7,27.6,2.1
108,서울,2020-08-23,25.3,21.5,29.9,1.9
108,서울,2020-08-24,27.8,23.7,32,2.2
108,서울,2020-08-25,29.9,26,34.5,2.1
108,서울,2020-08-26,30.2,27,34.5,3.4
108,서울,2020-08-27,27.1,25.6,28.6,3.6
108,서울,2020-08-28,27.3,26,29.7,1.6
108,서울,2020-08-29,26.8,25.5,29,1.3
108,서울,2020-08-30,26.8,24.4,30.6,2.1
108,서울,2020-08-31,26.4,23.8,30,2.8
108,서울,2020-09-01,26.6,23.8,29.5,1.9
108,서울,2020-09-02,24.3,22.6,26.4,2.3
108,서울,2020-09-03,22.7,20,25.6,4.8
108,서울,2020-09-04,23.3,19.9,27.5,2.7
108,서울,2020-09-05,23.3,19.2,27.3,2
108,서울,2020-09-06,21.7,19.5,24.4,2.7
108,서울,2020-09-07,19.2,17.5,20.6,4.2
108,서울,2020-09-08,23.4,20.6,26.5,4.2
108,서울,2020-09-09,21.1,19,25.3,2.1
108,서울,2020-09-10,22.8,18.8,27,2
108,서울,2020-09-11,22.4,19.2,27.1,2.8
108,서울,2020-09-12,20.2,18.1,23.2,2
108,서울,2020-09-13,21.5,16.7,26.6,1.9
108,서울,2020-09-14,21.3,17.6,24.9,1.8
108,서울,2020-09-15,23,18.9,27.7,1.6
108,서울,2020-09-16,22.5,21.3,24.9,1.9
108,서울,2020-09-17,21.3,20.1,23.6,2.1
108,서울,2020-09-18,21.5,18.1,25.8,2.8
108,서울,2020-09-19,21.2,17.6,26.2,2.2
108,서울,2020-09-20,19.7,15.6,24.9,2
108,서울,2020-09-21,19.1,13.6,25.3,1.7
108,서울,2020-09-22,20.2,15.5,25.6,2.8
108,서울,2020-09-23,19.2,15.2,23.8,3.3
108,서울,2020-09-24,20.6,16.8,25.4,3.7
108,서울,2020-09-25,20.1,16.6,25.4,2.5
108,서울,2020-09-26,19.3,14.8,24.8,2.4
108,서울,2020-09-27,20.4,14.9,25.8,2
108,서울,2020-09-28,20.7,15.7,26.5,2
108,서울,2020-09-29,19.6,15.3,23.9,1.9
108,서울,2020-09-30,19.6,16.2,25.7,1.7
108,서울,2020-10-01,18.8,15.6,23.6,2.1
108,서울,2020-10-02,19.2,16.3,21.9,2.3
108,서울,2020-10-03,19.9,18.3,23.2,1.6
108,서울,2020-10-04,16.6,10.6,21.8,2.8
108,서울,2020-10-05,13.3,8.5,18.4,2.5
108,서울,2020-10-06,14.2,9.3,19.7,2
108,서울,2020-10-07,16,9.9,22,1.9
108,서울,2020-10-08,17.2,12.1,23.1,3.1
108,서울,2020-10-09,17.2,12.4,23.3,3
108,서울,2020-10-10,16.9,12.3,21.5,2
108,서울,2020-10-11,16.9,12.7,20.8,1.8
108,서울,2020-10-12,16.2,12.1,21.3,2.2
108,서울,2020-10-13,13.6,8.6,18.4,2.2
108,서울,2020-10-14,12.8,8.5,18,2.4
108,서울,2020-10-15,11.7,6.5,18.5,1.5
108,서울,2020-10-16,11.8,8.6,15.4,1.5
108,서울,2020-10-17,13.1,8.7,18.6,1.8
108,서울,2020-10-18,13.6,7.2,20.2,2
108,서울,2020-10-19,15.1,9.8,21.3,1.7
108,서울,2020-10-20,15.2,9.9,21.7,1.6
108,서울,2020-10-21,14.1,11.8,17.3,1.9
108,서울,2020-10-22,13.5,8.4,18.2,2.8
108,서울,2020-10-23,8.6,5.4,13.3,3
108,서울,2020-10-24,8.7,3.2,14,2.5
108,서울,2020-10-25,11.8,5.4,18.2,1.7
108,서울,2020-10-26,12.9,8,19,1.6
108,서울,2020-10-27,14,9,19.4,1.8
108,서울,2020-10-28,13.8,8.6,18.2,2.5
108,서울,2020-10-29,10.8,5.5,16.1,2
108,서울,2020-10-30,11.9,5.8,19.6,1.5
108,서울,2020-10-31,13.6,8.5,18.2,2.6
108,서울,2020-11-01,13.7,11.6,15,2.3
108,서울,2020-11-02,10.8,7.9,15.6,2.3
108,서울,2020-11-03,5.1,2.7,8.6,3.5
108,서울,2020-11-04,4.9,.2,10.8,2.3
108,서울,2020-11-05,9.6,3.4,15.9,1.8
108,서울,2020-11-06,13.5,9.9,17.2,1.7
108,서울,2020-11-07,14.6,12.2,18.1,2.7
108,서울,2020-11-08,8.5,3.1,12.4,3.1
108,서울,2020-11-09,5.5,.7,8.9,1.8
108,서울,2020-11-10,7.7,3.5,12.9,2.2
108,서울,2020-11-11,9.3,3.5,16.5,1.6
108,서울,2020-11-12,10.4,4.6,17.7,1.7
108,서울,2020-11-13,12.2,8.5,17.6,1.6
108,서울,2020-11-14,12.5,6.8,19.3,1.7
108,서울,2020-11-15,11.1,8.2,14.9,1.7
108,서울,2020-11-16,12.4,7.5,18.3,1.6
108,서울,2020-11-17,15.9,11.7,20,2.3
108,서울,2020-11-18,16.6,14.8,18.7,2.6
108,서울,2020-11-19,13.6,6.9,19.1,4.2
108,서울,2020-11-20,2.8,.3,7,3.2
108,서울,2020-11-21,6.5,-.3,12.8,2.1
108,서울,2020-11-22,5.6,1.5,9.1,2.5
108,서울,2020-11-23,1.7,-1.5,5.9,2.3
108,서울,2020-11-24,2.9,.2,6.4,1.8
108,서울,2020-11-25,4.6,0,9.5,1.5
108,서울,2020-11-26,5.6,1.9,10.9,1.7
108,서울,2020-11-27,4.1,.6,7.7,2.7
108,서울,2020-11-28,-.1,-2.3,2.8,2.8
108,서울,2020-11-29,-.6,-3.6,2.6,2.2
108,서울,2020-11-30,-.2,-3.6,4.3,1.9
108,서울,2020-12-01,1.1,-3.6,6.7,1.9
108,서울,2020-12-02,2.4,.5,6.1,1.8
108,서울,2020-12-03,.7,-2.3,4.2,2.7
108,서울,2020-12-04,-.6,-4.6,4.4,1.8
108,서울,2020-12-05,2.1,-2.2,6.6,1.7
108,서울,2020-12-06,4.5,1.2,9.1,1.8
108,서울,2020-12-07,3.4,-.7,6.3,2.6
108,서울,2020-12-08,-.5,-3.5,4.1,2
108,서울,2020-12-09,1.5,-4.1,6.2,1.5
108,서울,2020-12-10,5.8,3.2,9.3,1.7
108,서울,2020-12-11,5.3,2.6,9.4,1.8
108,서울,2020-12-12,2.3,-.3,6.1,2.1
108,서울,2020-12-13,-1.1,-6,2,2.9
108,서울,2020-12-14,-7.7,-9.7,-5,3.4
108,서울,2020-12-15,-8.3,-11.1,-4.6,2.8
108,서울,2020-12-16,-8.3,-11.2,-3.9,2.6
108,서울,2020-12-17,-4.9,-11.1,.8,1.7
108,서울,2020-12-18,-2.1,-6.4,1.8,3
108,서울,2020-12-19,-5.1,-9.6,-1.2,2.4
108,서울,2020-12-20,-3.7,-8.2,1.1,2
108,서울,2020-12-21,-1,-6,4.7,1.6
108,서울,2020-12-22,2,-2.5,7.2,2
108,서울,2020-12-23,4.5,-.4,8.5,2.3
108,서울,2020-12-24,2.6,-2,6.1,2.9
108,서울,2020-12-25,-.8,-4.7,3.5,2.1
108,서울,2020-12-26,2.2,-2.1,8,1.8
108,서울,2020-12-27,5.8,1.4,10,1.8
108,서울,2020-12-28,6.7,4.2,11.4,1.4
108,서울,2020-12-29,.1,-6.2,4.3,2.9
108,서울,2020-12-30,-10.9,-12.9,-6.2,4.1
108,서울,2020-12-31,-8.9,-12.9,-5,2.4
108,서울,2021-01-01,-4.2,-9.8,1.6,2
108,서울,2021-01-02,-5,-8.4,-1.4,2.6
108,서울,2021-01-03,-5.6,-9.1,-2,2
108,서울,2021-01-04,-3.5,-8.4,.3,1.7
108,서울,2021-01-05,-5.5,-9.9,-2.1,2.9
108,서울,2021-01-06,-7.4,-12,-1.9,2.4
108,서울,2021-01-07,-14.5,-16.5,-8.4,4.1
108,서울,2021-01-08,-14.9,-18.6,-10.7,3.3
108,서울,2021-01-09,-12.2,-16.6,-7.5,2.6
108,서울,2021-01-10,-7.7,-12.8,-2.7,1.3
108,서울,2021-01-11,-6.7,-9.6,-4,1.9
108,서울,2021-01-12,-3.9,-9.3,-.5,1.8
108,서울,2021-01-13,2,-3,8.3,2.4
108,서울,2021-01-14,1.7,-3.6,7,2.3
108,서울,2021-01-15,4.5,-.7,9.9,3
108,서울,2021-01-16,-4.9,-8.7,-.7,3.3
108,서울,2021-01-17,-5.5,-10.8,-1.3,2.3
108,서울,2021-01-18,-3.8,-9.1,.2,3.2
108,서울,2021-01-19,-6.3,-11.6,-.2,1.8
108,서울,2021-01-20,-.1,-6.6,7.1,2.2
108,서울,2021-01-21,4.5,2.5,7,2.3
108,서울,2021-01-22,5.5,4.8,6.6,1.7
108,서울,2021-01-23,7.6,4.8,12.2,4.2
108,서울,2021-01-24,7.3,2.4,13.9,2.1
108,서울,2021-01-25,7.9,3,13.9,1.9
108,서울,2021-01-26,5.3,1.7,7.4,1.9
108,서울,2021-01-27,1.7,-1.8,6.5,2.2
108,서울,2021-01-28,-2.6,-9.7,1.4,4
108,서울,2021-01-29,-8.8,-11.6,-4.9,3.5
108,서울,2021-01-30,-1.6,-8.1,5.2,2.5
108,서울,2021-01-31,3.2,-3.8,8.7,2
108,서울,2021-02-01,5,-2.3,9.5,2.7
108,서울,2021-02-02,-5.6,-8.2,-2.4,3.9
108,서울,2021-02-03,-3.2,-9.4,1.4,2.2
108,서울,2021-02-04,-3.6,-7.4,.7,2.5
108,서울,2021-02-05,1.4,-4.4,6.7,2.4
108,서울,2021-02-06,6.8,4.3,9.5,2.2
108,서울,2021-02-07,3.6,-2.6,7.7,2.9
108,서울,2021-02-08,-3.1,-5.4,.2,3.4
108,서울,2021-02-09,-.9,-6.1,4.7,2
108,서울,2021-02-10,3.4,-1.5,7.2,2.1
108,서울,2021-02-11,5.5,1.3,10.9,1.3
108,서울,2021-02-12,6.5,.6,14,1.7
108,서울,2021-02-13,7.6,1,15.9,1.5
108,서울,2021-02-14,9.5,6.4,13.8,1.7
108,서울,2021-02-15,1.2,-5.2,8.2,4
108,서울,2021-02-16,-5.1,-7,-1.3,3.2
108,서울,2021-02-17,-8.3,-10.4,-5.2,5
108,서울,2021-02-18,-5.8,-10.6,-.4,3.1
108,서울,2021-02-19,1.6,-7.1,8.9,2.9
108,서울,2021-02-20,8.8,5.5,14.9,2.1
108,서울,2021-02-21,10.8,4.7,17.4,2.8
108,서울,2021-02-22,7.8,.4,12.6,2.9
108,서울,2021-02-23,0,-3.1,4.3,2.9
108,서울,2021-02-24,2.9,-3,10.1,1.8
108,서울,2021-02-25,4.2,.7,8.2,1.4
108,서울,2021-02-26,8.2,.5,15.8,2.3
108,서울,2021-02-27,9.5,4.3,16.2,3.4
108,서울,2021-02-28,7.8,3.2,10.8,2.1
108,서울,2021-03-01,4.7,.5,9,3.5
108,서울,2021-03-02,2.3,.2,6.9,1.9
108,서울,2021-03-03,4.4,-1.2,9.9,1.8
108,서울,2021-03-04,7.2,2.5,13,1.9
108,서울,2021-03-05,9,3,16.2,2.1
108,서울,2021-03-06,6.6,3.2,11.6,3.3
108,서울,2021-03-07,6.2,2.1,12.2,2.8
108,서울,2021-03-08,7,1.5,13.9,1.8
108,서울,2021-03-09,6.6,2.1,12.2,2.2
108,서울,2021-03-10,8.8,1.7,17.1,1.8
108,서울,2021-03-11,10.2,4.7,17.1,1.8
108,서울,2021-03-12,10.5,7.2,14.9,2.2
108,서울,2021-03-13,9.2,4.6,14.2,2.2
108,서울,2021-03-14,9.1,4.9,14.7,2.2
108,서울,2021-03-15,10.6,5.1,15.7,2.4
108,서울,2021-03-16,8.4,4.9,13.1,3.2
108,서울,2021-03-17,8.8,1.8,17.5,1.8
108,서울,2021-03-18,11.7,5,18.4,1.8
108,서울,2021-03-19,15.3,11.4,20.2,2.2
108,서울,2021-03-20,9.9,7.4,14.7,2.2
108,서울,2021-03-21,5.8,3.1,8.6,4
108,서울,2021-03-22,6.2,1.1,11.1,3.2
108,서울,2021-03-23,9.1,2.5,16.4,2.5
108,서울,2021-03-24,10.8,5.7,16.9,2.4
108,서울,2021-03-25,11.9,6.8,19,2.2
108,서울,2021-03-26,12.6,4.8,20.6,1.4
108,서울,2021-03-27,12.1,10.2,15,2.5
108,서울,2021-03-28,9,7.7,13,3.3
108,서울,2021-03-29,10.2,7.3,14.6,3.3
108,서울,2021-03-30,10.8,4.1,18.2,2.2
108,서울,2021-03-31,14.5,5.9,22.9,1.8
108,서울,2021-04-01,17.7,12,24,3.5
108,서울,2021-04-02,17.8,12.5,23,3.2
108,서울,2021-04-03,14.9,10.9,18,3.1
108,서울,2021-04-04,11.9,9,15.8,3.2
108,서울,2021-04-05,11.9,5.4,19.3,2.4
108,서울,2021-04-06,13.9,9.4,19.2,2.5
108,서울,2021-04-07,14.1,8.1,20.4,2.5
108,서울,2021-04-08,13,7.2,18,2.7
108,서울,2021-04-09,13.6,7.6,19.6,2.7
108,서울,2021-04-10,12.6,7.7,18.8,2.6
108,서울,2021-04-11,15,7.5,21.8,1.7
108,서울,2021-04-12,13.8,11.9,17.8,2.4
108,서울,2021-04-13,10.4,5.7,13.5,3.7
108,서울,2021-04-14,8.4,3.1,13.3,2.9
108,서울,2021-04-15,11.6,6.3,18.3,2.1
108,서울,2021-04-16,11.3,8.1,14.8,2.6
108,서울,2021-04-17,9.6,6,14.6,2.6
108,서울,2021-04-18,9.9,5.6,15.3,3.2
108,서울,2021-04-19,12.2,5.8,19.4,2.4
108,서울,2021-04-20,14.8,8.1,22,1.9
108,서울,2021-04-21,19.1,10.3,28.2,1.8
108,서울,2021-04-22,20.9,16.1,27.5,2.5
108,서울,2021-04-23,19,17,21.7,3.2
108,서울,2021-04-24,18.3,15.3,22.2,2.7
108,서울,2021-04-25,18.2,12.6,24,2.7
108,서울,2021-04-26,16.2,12.3,20.6,2.6
108,서울,2021-04-27,15.4,12.5,20,2.3
108,서울,2021-04-28,14.5,11.2,18.2,2.4
108,서울,2021-04-29,14.6,10.9,20.1,2.3
108,서울,2021-04-30,11.3,8.6,14.6,2.4
108,서울,2021-05-01,10.2,8.5,15.3,2.7
108,서울,2021-05-02,12.4,7.3,18.7,3.1
108,서울,2021-05-03,14.1,8.4,20.3,2.1
108,서울,2021-05-04,13.8,11.4,15.8,2.1
108,서울,2021-05-05,13.9,10.3,18.4,3.5
108,서울,2021-05-06,15.7,7.9,23.1,2.4
108,서울,2021-05-07,14.4,10.7,17.2,3.4
108,서울,2021-05-08,14.3,8.9,21,3.4
108,서울,2021-05-09,15.7,10,21.8,3.5
108,서울,2021-05-10,13.2,11.7,14.6,1.8
108,서울,2021-05-11,18.5,9.4,25.7,2.7
108,서울,2021-05-12,22,16.9,27.7,2.2
108,서울,2021-05-13,22.9,16.6,29.6,1.9
108,서울,2021-05-14,24.1,18,30.8,1.7
108,서울,2021-05-15,22.1,20.8,26.2,1.7
108,서울,2021-05-16,18.4,14.8,20.8,2.5
108,서울,2021-05-17,15.3,14.2,16.7,1.6
108,서울,2021-05-18,17.9,13.6,24.5,1.7
108,서울,2021-05-19,19.9,12.4,26.6,1.8
108,서울,2021-05-20,18.7,15.6,22.9,2.5
108,서울,2021-05-21,16,14.2,18.2,1.7
108,서울,2021-05-22,18.6,13.8,23.8,2.5
108,서울,2021-05-23,19.5,14.3,25.1,1.7
108,서울,2021-05-24,19.4,16.4,24.5,2.7
108,서울,2021-05-25,15.3,11.9,19.3,3.2
108,서울,2021-05-26,18,11.5,23,2.9
108,서울,2021-05-27,15.8,13.9,18.7,2.8
108,서울,2021-05-28,15.3,12.4,19.7,2.6
108,서울,2021-05-29,15.4,12.8,19.1,2.2
108,서울,2021-05-30,18.4,10.8,26.3,2.1
108,서울,2021-05-31,19.9,16.5,23.8,1.8
108,서울,2021-06-01,20.2,15.9,23.9,2.2
108,서울,2021-06-02,23.2,16.6,29.7,2.1
108,서울,2021-06-03,19.1,14.6,22.7,1.8
108,서울,2021-06-04,18.5,13.3,23.6,2.9
108,서울,2021-06-05,20.8,17,25.7,3.3
108,서울,2021-06-06,23,18.4,28.2,2.2
108,서울,2021-06-07,21.1,19.4,24,1.7
108,서울,2021-06-08,23.6,18.8,29.5,1.7
108,서울,2021-06-09,25.8,19.5,31.6,1.6
108,서울,2021-06-10,24.9,20.5,29.8,2.2
108,서울,2021-06-11,21.5,19.9,24.4,2.8
108,서울,2021-06-12,24.2,18.2,30.2,1.8
108,서울,2021-06-13,24.8,20.9,29.7,2
108,서울,2021-06-14,24.8,18.9,30.2,2.1
108,서울,2021-06-15,22.5,21.5,25.3,2.3
108,서울,2021-06-16,24.3,20.3,28.9,3.6
108,서울,2021-06-17,21.9,19.6,25,2.4
108,서울,2021-06-18,20,19,21.4,2.5
108,서울,2021-06-19,22.3,17.5,27.4,1.8
108,서울,2021-06-20,22.9,17.6,29,2.8
108,서울,2021-06-21,23.6,19.2,28.5,2.2
108,서울,2021-06-22,22.8,19.7,28.6,2.1
108,서울,2021-06-23,22.4,18.8,27.9,2.4
108,서울,2021-06-24,23,18.5,28,1.9
108,서울,2021-06-25,24.1,19.5,29.5,2
108,서울,2021-06-26,22.8,19.9,26.7,1.8
108,서울,2021-06-27,24.5,19.8,30.8,2
108,서울,2021-06-28,23.7,21,29.2,1.9
108,서울,2021-06-29,23.9,21.3,28.4,1.8
108,서울,2021-06-30,24.3,21,28.8,1.3
108,서울,2021-07-01,26.3,21.4,31,1.8
108,서울,2021-07-02,27.1,23.6,31.8,2.3
108,서울,2021-07-03,22.6,19.6,25.7,3.6
108,서울,2021-07-04,21.4,19.8,23.1,2.3
108,서울,2021-07-05,23.3,20.1,26.9,1.4
108,서울,2021-07-06,25.3,21,30.1,1.6
108,서울,2021-07-07,26.4,23.9,29.1,1.5
108,서울,2021-07-08,26,23.8,29.8,2
108,서울,2021-07-09,25.5,23.6,29.2,1.9
108,서울,2021-07-10,25.9,23.1,29.2,2.4
108,서울,2021-07-11,25.7,24.1,27.5,2.2
108,서울,2021-07-12,28.1,23.8,32.5,1.6
108,서울,2021-07-13,28.8,26.3,31.5,1.7
108,서울,2021-07-14,29.7,26.1,33.5,2.2
108,서울,2021-07-15,29.1,25.9,34.5,2.1
108,서울,2021-07-16,28.8,24.2,35.2,2.2
108,서울,2021-07-17,29.1,24.7,32.8,2.3
108,서울,2021-07-18,29.6,25.7,34.1,2.1
108,서울,2021-07-19,26.4,24,30.5,1.9
108,서울,2021-07-20,27.9,23.6,31.8,1.5
108,서울,2021-07-21,30.5,25.3,35.3,1.7
108,서울,2021-07-22,31.2,26.5,35.9,2
108,서울,2021-07-23,31.2,27.2,35.8,1.8
108,서울,2021-07-24,31.7,26.9,36.5,1.7
108,서울,2021-07-25,31.5,27.2,35.9,2
108,서울,2021-07-26,31.2,27.4,35.4,2.4
108,서울,2021-07-27,31.1,27.8,35.7,2.1
108,서울,2021-07-28,30.4,27.1,34.7,1.9
108,서울,2021-07-29,29.6,27,33.3,2
108,서울,2021-07-30,30.5,25.8,35.4,2.1
108,서울,2021-07-31,29.8,26.8,34.3,2.5
108,서울,2021-08-01,27.1,25.1,28.8,1.3
108,서울,2021-08-02,26.5,25,28.6,1.6
108,서울,2021-08-03,28,24.1,31.4,1.8
108,서울,2021-08-04,28.9,26.3,33.2,2
108,서울,2021-08-05,29.4,25.6,33.7,2.1
108,서울,2021-08-06,28.1,26,32.2,2.1
108,서울,2021-08-07,28,23.4,32.3,2.1
108,서울,2021-08-08,26.8,24.4,32.1,1.7
108,서울,2021-08-09,28.3,23.3,33.6,2.3
108,서울,2021-08-10,27.7,24.3,32.2,2.3
108,서울,2021-08-11,27.4,24.1,31.6,2
108,서울,2021-08-12,26.8,24,31.7,1.8
108,서울,2021-08-13,26.6,23.4,30.1,2
108,서울,2021-08-14,26.1,23.4,30.5,3
108,서울,2021-08-15,26.9,21.7,32.4,2.3
108,서울,2021-08-16,27.3,22.5,32.8,2.3
108,서울,2021-08-17,25.9,21.9,31.3,2.4
108,서울,2021-08-18,24.3,20.6,31,2.8
108,서울,2021-08-19,26,21,31.5,2.6
108,서울,2021-08-20,26.6,22.6,30.7,2.3
108,서울,2021-08-21,23.8,21,25.5,2.7
108,서울,2021-08-22,24.4,22.4,27,2.1
108,서울,2021-08-23,22.4,21,24,2
108,서울,2021-08-24,23.4,21.1,26.4,2.9
108,서울,2021-08-25,25,23.5,27.3,1.8
108,서울,2021-08-26,25.5,22.9,27.9,2.5
108,서울,2021-08-27,22.4,20.4,25.5,1.3
108,서울,2021-08-28,23.6,19.7,28.2,1.8
108,서울,2021-08-29,23.7,21.9,26.3,1.6
108,서울,2021-08-30,24.2,21.2,27.7,1.4
108,서울,2021-08-31,20.5,18.1,23.1,2.3
108,서울,2021-09-01,21.4,18.5,23.9,2.9
108,서울,2021-09-02,23.5,20.7,26.7,2.1
108,서울,2021-09-03,24.3,20.6,29.2,2.4
108,서울,2021-09-04,23.2,18.5,28.6,2.7
108,서울,2021-09-05,23.1,19.4,27.3,3.2
108,서울,2021-09-06,22.3,18,26.4,3.2
108,서울,2021-09-07,19.6,17.6,20.9,2.3
108,서울,2021-09-08,22.2,19,26.9,1.7
108,서울,2021-09-09,23.5,19.1,29.1,1.5
108,서울,2021-09-10,23.6,19.5,28.9,1.9
108,서울,2021-09-11,24,19.9,29.4,1.7
108,서울,2021-09-12,24.2,19.2,29.8,1.8
108,서울,2021-09-13,24.8,20.8,30.3,2.4
108,서울,2021-09-14,24.6,20,29.5,2.6
108,서울,2021-09-15,23.6,19.5,28.9,3.6
108,서울,2021-09-16,22.9,18,27.3,2.6
108,서울,2021-09-17,23.5,20.5,28.2,3
108,서울,2021-09-18,23.9,18.9,29.8,1.6
108,서울,2021-09-19,23.7,20.8,27.8,1.9
108,서울,2021-09-20,23.7,19,28.4,2.7
108,서울,2021-09-21,22,17.4,26.2,2.9
108,서울,2021-09-22,20.2,16.8,24.3,2.7
108,서울,2021-09-23,20.9,16.9,25.9,2.4
108,서울,2021-09-24,21.8,16.7,26.9,2.2
108,서울,2021-09-25,21.2,18.7,23.1,2.3
108,서울,2021-09-26,22.6,18.4,27.3,2.3
108,서울,2021-09-27,21.6,18.7,25,2.4
108,서울,2021-09-28,21.5,19.6,24.4,2.2
108,서울,2021-09-29,20.2,17.8,21.4,1.7
108,서울,2021-09-30,20.3,16,25.9,1.5
108,서울,2021-10-01,21.1,16.9,27.5,2.4
108,서울,2021-10-02,20.7,16.4,26.6,1.6
108,서울,2021-10-03,22.3,17.1,28.8,1.9
108,서울,2021-10-04,22.9,19.2,25.6,2.9
108,서울,2021-10-05,23.6,21.7,26.5,3.3
108,서울,2021-10-06,18.8,17.9,21.7,2.8
108,서울,2021-10-07,19.4,17.9,21.9,1.9
108,서울,2021-10-08,18.8,17.5,20,1.7
108,서울,2021-10-09,20.9,18.5,24.1,2.3
108,서울,2021-10-10,19.9,14.9,24.3,2.2
108,서울,2021-10-11,15.2,12.6,17.8,2.2
108,서울,2021-10-12,17.9,15.8,21.3,3.3
108,서울,2021-10-13,19.6,14.9,25.2,2.4
108,서울,2021-10-14,19.7,17.4,23.9,2
108,서울,2021-10-15,19,17,21.4,2.1
108,서울,2021-10-16,10.7,4.2,18.1,3.4
108,서울,2021-10-17,5.6,1.3,10.8,2.9
108,서울,2021-10-18,9.6,2.8,16.1,2
108,서울,2021-10-19,10.9,7.1,15,2.4
108,서울,2021-10-20,9.5,4.6,15.8,1.7
108,서울,2021-10-21,9.8,4.9,16.2,1.7
108,서울,2021-10-22,10.8,5.2,17.2,1.8
108,서울,2021-10-23,11.4,5.7,18.4,1.6
108,서울,2021-10-24,11.4,6,18.1,1.7
